text,stemmed
akses jalannya waktu masih sulit dijangkau perjalanan menuju air terjun lumayan jauh,akses jalan waktu masih sulit jangkau jalan tuju air terjun lumayan jauh
perjalanan benar membuat syahduu tempat parkir lokasi air terjun lelah  terasa hilang sampai lokasi,jalan benar buat syahduu tempat parkir lokasi air terjun lelah asa hilang sampai lokasi
minggu 13 februari 2022 gas santai pakai motor dago jam 600 parkiran air terjun jam 9 lebih tersasar google maps gunung halu jangan percaya google maps sasarin ikuti petunjuk jalan-jalan tanya warga sajajalan lewat cililin mulai bagus jalannya cor  masih banyak proyek jalan-jalan belum selesai bolong tengah jalan-jalan hati hingga hati ajaoke sampaitiket permotor 12 ribu rupiah termasuk tiket masuk parkir motor 5 ribu ditagih tepat pulangharga makanan diparkiran nasi ayam sayur kacang 20 ribu rupiah masalah larisin teman teman kasihan jualan di sana sepioke star jalan-jalan kaki parkiran penuh jalur turunan wah bakal berat nih pulangnya jalan-jalan santai menikmati pemandangan jalannya lumayan hati hingga hati ambil video kita sampai air terjun 3040menitdi perjalanan banyak warung buka disesali sepi pembeli waktu ke tempat hanya turun 3 orang naik berapa lama datang 1 pasangan jadi sepi amatuntuk air terjun sendiri bagus besar indah di lihat di foto jalan-jalan bersih ada sampah tepat ke tempat ada bapak bapak petugas lagi beres2 mengelap tempat duduk menyapu bagussnamun disesali jembatan tempat foto akhir akhir dibuat kayu nya banyak bolong licin mungkin kena cipratan air terus jadi lapuk di akalin  cari bahan kuat kena air intinya hati hingga hati sekali rawan jatohoke lanjut balik menanjak sedikit ketemu  sama bapak bapak ojek disitu berdiskusi bersama istri jalan-jalan apa naik ojek setelah perdebatan panjang akhirnya naik ojek tarif awal 35 ribu rupiah tawar jadi 30rbeh buset ternyata treknya ekstrem licin menanjak tidak tega teman  tambahin  bapak ojeknya menjadi 50rbmotorkalo ada rezeki lebih baik cobain sudah pengalaman naik ojek pulang air terjun malela layak bangettdriver ojeknya berpengalaman walaupun pakai motor vega r bisa antar ke atas ngomong ngomong beratnya 97kg teman kasihan makanya tambahindan kami  pulang sekian semoga bermanfaat,minggu 13 februari 2022 gas santai pakai motor dago jam 600 parkir air terjun jam 9 lebih sasar google maps gunung halu jangan percaya google maps sasarin ikut tunjuk jalan tanya warga sajajalan lewat cililin mulai bagus jalan cor masih banyak proyek jalan belum selesai bolong tengah jalan hati hingga hati ajaoke sampaitiket motor 12 ribu rupiah masuk tiket masuk parkir motor 5 ribu tagih tepat pulangharga makan parkir nasi ayam sayur kacang 20 ribu rupiah masalah larisin teman teman kasihan jual di sana sepioke star jalan kaki parkir penuh jalur turun wah bakal berat nih pulang jalan santai nikmat pandang jalan lumayan hati hingga hati ambil video kita sampai air terjun 3040menitdi jalan banyak warung buka sali sepi beli waktu ke tempat hanya turun 3 orang naik berapa lama datang 1 pasang jadi sepi amatuntuk air terjun sendiri bagus besar indah di lihat di foto jalan bersih ada sampah tepat ke tempat ada bapak bapak tugas lagi beres2 kelap tempat duduk sapu bagussnamun sali jembatan tempat foto akhir akhir buat kayu nya banyak bolong licin mungkin kena ciprat air terus jadi lapuk di akalin cari bahan kuat kena air inti hati hingga hati sekali rawan jatohoke lanjut balik tanjak sedikit ketemu sama bapak bapak ojek situ diskus sama istri jalan apa naik ojek telah debat panjang akhir naik ojek tarif awal 35 ribu rupiah tawar jadi 30rbeh buset nyata trek ekstrem licin tanjak tidak tega teman tambahin bapak ojek jadi 50rbmotorkalo ada rezeki lebih baik cobain sudah alam naik ojek pulang air terjun malela layak bangettdriver ojek alam walaupun pakai motor vega r bisa antar ke atas ngomong ngomong berat 97kg teman kasihan makanya tambahindan kami pulang sekian moga manfaat
7 mei 2022touring bari mudikmntap perjalanan sungguh menantang terbayar indahnya pemandang suguhkan pulang terlalu sore saking asyiknya di jln,7 mei 2022touring bari mudikmntap jalan sungguh tantang bayar indah pandang suguh pulang terlalu sore saking asyik di jln
perjalanan touring motor bekasi melewati trek saguling tepat air terjun terbayar kan keindahan panorama alam air terjun masih asri,jalan touring motor bekas lewat trek saguling tepat air terjun bayar kan indah panorama alam air terjun masih asri
nyampe 1730 lanjut bawah jam 1800 mantap suasana 1 safar,nyampe 1730 lanjut bawah jam 1800 mantap suasana 1 safar
sangat indah meskipun airnya keruh sedang musim hujanwalaupun perjuangan luar biasa hilang lelah sampai lokasicuma efek pandemi jadi saung rusak akses kurang terawatayoo bangkit lagiii,sangat indah meski air keruh sedang musim hujanwalaupun juang luar biasa hilang lelah sampai lokasicuma efek pandemi jadi saung rusak akses kurang terawatayoo bangkit lagiii
perjalanan lumayan lelah sangat memuaskan tepat lokasiwow intinya datang tepat posisi banjir alhamdulillah tepat datang cuaca mendukung berkunjung,jalan lumayan lelah sangat muas tepat lokasiwow inti datang tepat posisi banjir alhamdulillah tepat datang cuaca dukung kunjung
we mengunjungi here 2016 lokasinya cukup jauh bandung barat menuju air terjun perlu jalan-jalan 12km jalurnya menyejukkan mata air terjun malela versi mini niagara air terjun nya canada bagus foto hunting,we unjung here 2016 lokasi cukup jauh bandung barat tuju air terjun perlu jalan 12km jalur sejuk mata air terjun malela versi mini niagara air terjun nya canada bagus foto hunting
tiket masuk per orang 5 ribu parkir mobil 6 ribu akses jalan-jalan menuju kecurug perbaiki supaya lebih mudah di lewati pemandangan di air terjun nya asri sekali itu air terjun nya indah sekali memuaskan,tiket masuk per orang 5 ribu parkir mobil 6 ribu akses jalan tuju kecurug baik supaya lebih mudah di lewat pandang di air terjun nya asri sekali itu air terjun nya indah sekali muas
lokasi kecamatan rongga kabupaten bandung barat akses menuju lokasi saat bagus melewati kebun teh pemandangan eksotis udara sejuk sangat sesuai menenangkan pikiranhanya kalau bawa mobil bersiap parkir musim liburan keterbatasan area parkirtiket masuk berkisar rp 5000 rp 10 ribu rupiah per orang tiket masuk kendaraandari pintu masuk harus jalan-jalan kaki melewati jalan-jalan setapak akses menurun medan jalan-jalan tanah air terjun kurang lebih 3040 menit tergantung kecepatan jalansampai lokasi akan disuguhkan air terjun model air terjun niagara debit air normal waktu sedang turun hujanlokasi luas exsplor jangan masuk ke area tengah dikarenkan batu licin ditakutkan terjadi insiden tidak diinginkankalau lapar haus pintu masuk ke lokasi tersedia berbagai macam makanan minuman jangan takut kelaparan bisa bawa bekal harga standarsayangnya waktu di lokasi kurang terawat nampak sampah berserakan mengurangi estetika air terjun sendirihunting foto bagus bagus jangan terlewatbaiknya datang ketika musim kemarau mengingat akses debit air kadang bisa berubah sewaktuwaktupuas menikmati destinasinya waktunya pulang eit ingat pulangnya menanjak loe atas ada alternatif ojek yang bisa dipakai harga tiket masuk rp 20000rp 30000 pintu masukhappy holiday,lokasi camat rongga kabupaten bandung barat akses tuju lokasi saat bagus lewat kebun teh pandang eksotis udara sejuk sangat sesuai tenang pikiranhanya kalau bawa mobil siap parkir musim libur batas area parkirtiket masuk kisar rp 5000 rp 10 ribu rupiah per orang tiket masuk kendaraandari pintu masuk harus jalan kaki lewat jalan setapak akses turun medan jalan tanah air terjun kurang lebih 3040 menit gantung cepat jalansampai lokasi akan suguh air terjun model air terjun niagara debit air normal waktu sedang turun hujanlokasi luas exsplor jangan masuk ke area tengah dikarenkan batu licin takut jadi insiden tidak diinginkankalau lapar haus pintu masuk ke lokasi sedia bagai macam makan minum jangan takut lapar bisa bawa bekal harga standarsayangnya waktu di lokasi kurang awat nampak sampah sera kurang estetika air terjun sendirihunting foto bagus bagus jangan terlewatbaiknya datang ketika musim kemarau ingat akses debit air kadang bisa ubah sewaktuwaktupuas nikmat destinasi waktu pulang eit ingat pulang tanjak loe atas ada alternatif ojek yang bisa pakai harga tiket masuk rp 20000rp 30000 pintu masukhappy holiday
tempatnya bagus saya suka turun naik menuju air terjun malela sungguh luar biasa perlu stamina tenaga terbayar curugnya,tempat bagus saya suka turun naik tuju air terjun malela sungguh luar biasa perlu stamina tenaga bayar curugnya
air terjun sangat kerensayang akses jalannya tidak layak jalantarif ojek malela 30000 ampuuun,air terjun sangat kerensayang akses jalan tidak layak jalantarif ojek malela 30000 ampuuun
curug malela memiliki nama beken little niagara sebutan berasal bentuk air terjun melebar mirip niagara perbatasan amerikacanada keberadannya terpencil seadanya kini mulai didandani berbagai fasilitasaliran air air terjun malela bersumber hulu sungai bagian utara gunung kendeng gunung kendeng sendiri merupakan gunung berapi sudah aktif berada ciwidey bagian barat sungai kemudian mengalir melewati sungai cidadap gunung haluair terjun juga memiliki keindahan alam luar biasa tinggi 60 meter lebar hingga 70 meter lima jalur air terjun nampak megah membuat air terjun malela semakin elok dipandang tidak heran objek wisata mampu menghipnotos siapa  berlamalama area inicurug malela air terjun  sajaatas dari jajaran 7 air terjun berturutturut 6 air terjun lainnya air terjun katumiri air terjun manglid air terjun ngeubul air terjun sumpel air terjun palisir yang  sajabawah air terjun pamengpeukunutk menikmati semua air terjun yang lain pengunjung perlu bermalam akomodasi saja menginap rumah warga juga penginapan desa rongga,curug malela milik nama beken little niagara sebut asal bentuk air terjun lebar mirip niagara batas amerikacanada rad pencil ada kini mulai dandan bagai fasilitasaliran air air terjun malela sumber hulu sungai bagi utara gunung kendeng gunung kendeng sendiri rupa gunung rap sudah aktif ada ciwidey bagi barat sungai kemudian alir lewat sungai cidadap gunung haluair terjun juga milik indah alam luar biasa tinggi 60 meter lebar hingga 70 meter lima jalur air terjun nampak megah buat air terjun malela makin elok pandang tidak heran objek wisata mampu menghipnotos siapa berlamalama area inicurug malela air terjun sajaatas dari jajar 7 air terjun berturutturut 6 air terjun lain air terjun katumiri air terjun manglid air terjun ngeubul air terjun sumpel air terjun palisir yang sajabawah air terjun pamengpeukunutk nikmat semua air terjun yang lain unjung perlu malam akomodasi saja inap rumah warga juga inap desa rongga
pemandangannya sangat luar biasa cukup jauh untuk menuju lokasi air terjun berjalan kaki naik ojek kalau jalan-jalan kaki cukup menguras tenaga kalau naik ojek cukup menguras adrenalin ongkos ojek 25 30 ribu ribu sekali jalan,pandang sangat luar biasa cukup jauh untuk tuju lokasi air terjun jalan kaki naik ojek kalau jalan kaki cukup uras tenaga kalau naik ojek cukup uras adrenalin ongkos ojek 25 30 ribu ribu sekali jalan
perjalanan lumayan panjang jalur mobil tepat pasan bahkan cukup 1 mobil parkiran jalan-jalan kaki naik ojek 1 kilometer menuju air terjun semua terbayar pemandangan air terjun yang indah,jalan lumayan panjang jalur mobil tepat pas bahkan cukup 1 mobil parkir jalan kaki naik ojek 1 kilometer tuju air terjun semua bayar pandang air terjun yang indah
